moviechrono_id;"movie,""chapter"",""character"",""dialog"""
161;"Harry Potter and the Deathly Hallows Part 1,""Fallen Warrior"",""Bill Weasley"",""Mad-Eye's dead."""
162;"Harry Potter and the Deathly Hallows Part 1,""Fallen Warrior"",""Bill Weasley"",""Mundungus took one look at Voldemort and Disapparated."""
163;"Harry Potter and the Deathly Hallows Part 1,""Fallen Warrior"",""Remus Lupin"",""Mad-Eye reckoned You-Know-Who would expect the real Harry to be with the most skilled Auror.  He knew he'd be in the most danger."""
164;"Harry Potter and the Deathly Hallows Part 1,""Fallen Warrior"",""Arthur Weasley"",""It doesn't explain how they knew we were moving Harry tonight."""
165;"Harry Potter and the Deathly Hallows Part 1,""Fallen Warrior"",""Rubeus Hagrid"",""Wha'?  One of us?  Tha's mad.  I'd wager me life it wasn' none of you lot.  An' if it was me I'd kno', wouldn' I?  Talk in me sleep on occasion, I'll admit, but there's only Fang aroun' ter hear an' mostly it's gibberish an' besides I'd cut me tongue out 'fore 'd betray 'arry e'en in me dreams --"""
166;"Harry Potter and the Deathly Hallows Part 1,""Fallen Warrior"",""Rubeus Hagrid"",""Wha's so funny!"""
167;"Harry Potter and the Deathly Hallows Part 1,""Fallen Warrior"",""Harry Potter"",""I trust you with my life, Hagrid. I trust everyone in this room. Understood?"""
168;"Harry Potter and the Deathly Hallows Part 1,""Fallen Warrior"",""Rubeus Hagrid"",""'Ear, 'ear."""
169;"Harry Potter and the Deathly Hallows Part 1,""Fallen Warrior"",""Remus Lupin"",""Better."""
170;"Harry Potter and the Deathly Hallows Part 1,""Fallen Warrior"",""Garrick Ollivander"",""No!  No!  I believed a different wand would work, I swear!"""
171;"Harry Potter and the Deathly Hallows Part 1,""Fallen Warrior"",""Voldemont"",""Then explain this!"""
172;"Harry Potter and the Deathly Hallows Part 1,""Fallen Warrior"",""Garrick Ollivander"",""But it makes no sense..."""
173;"Harry Potter and the Deathly Hallows Part 1,""Fallen Warrior"",""Voldemort"",""Perhaps our friend's loyalties lie elsewhere, Wormtail."""
174;"Harry Potter and the Deathly Hallows Part 1,""Fallen Warrior"",""Garrick Ollivander"",""No!  There must be a way!  I'll think of something else!"""
175;"Harry Potter and the Deathly Hallows Part 1,""Fallen Warrior"",""Voldemont"",""I hope so, Ollivander, for your sake.  I won't be so forgiving next time..."""
176;"Harry Potter and the Deathly Hallows Part 1,""Fallen Warrior"",""Ron Weasley"",""Going somewhere?"""
177;"Harry Potter and the Deathly Hallows Part 1,""Fallen Warrior"",""Harry Potter"",""No one else is going to die.  Not for me."""
178;"Harry Potter and the Deathly Hallows Part 1,""Fallen Warrior"",""Ron Weasley"",""For you?  You think Madeye died for you?  You think George took that curse for you?  You may be the Chosen One, mate, but this is a whole lot bigger than that."""
179;"Harry Potter and the Deathly Hallows Part 1,""Fallen Warrior"",""Harry Potter"",""Come with me.  Now."""
180;"Harry Potter and the Deathly Hallows Part 1,""Fallen Warrior"",""Ron Weasley"",""And leave Hermione?  Are you mad? We wouldn't last two days without her."""
181;"Harry Potter and the Deathly Hallows Part 1,""Fallen Warrior"",""Ron Weasley"",""Don't tell her I said that. Besides, you've still got the Trace on you.  And there's the wedding..."""
182;"Harry Potter and the Deathly Hallows Part 1,""Fallen Warrior"",""Harry Potter"",""Wedding?"""
183;"Harry Potter and the Deathly Hallows Part 1,""Fallen Warrior"",""Ron Weasley"",""Bill and Fleur.  Mum's been planning it for months.  Only thing that's kept her sane, I reckon.  She'll kill me if I miss it.  Kill you too.  Rather go face to face with You-Know-Who if I'm honest."""
184;"Harry Potter and the Deathly Hallows Part 1,""Fallen Warrior"",""Harry Potter"",""I don't care about a bloody wedding -- no matter whose it is. I have to start searching for the Horcruxes.  It's the only chance we have to beat him.  And the longer we wait the stronger he gets."""
185;"Harry Potter and the Deathly Hallows Part 1,""Fallen Warrior"",""Ron Weasley"",""Tonight's not the night, mate. You'd only be doing him a favor."""
186;"Harry Potter and the Deathly Hallows Part 1,""Fallen Warrior"",""Ron Weasley"",""Do you think he knows?"""
187;"Harry Potter and the Deathly Hallows Part 1,""Fallen Warrior"",""Ron Weasley"",""I mean, they're bits of his soul, the Horcruxes.  Bits of him.  When Dumbledore destroyed the ring and you destroyed Tom Riddle's diary all those years ago -- he must've felt something right?"""
188;"Harry Potter and the Deathly Hallows Part 1,""Fallen Warrior"",""Ron Weasley"",""What I'm saying is, if we do this thing right, if we find the Horcruxes and begin to destroy them one by one..."""
189;"Harry Potter and the Deathly Hallows Part 1,""Fallen Warrior"",""Ron Weasley"",""Won't he know he's being hunted?"""
190;"Harry Potter and the Deathly Hallows Part 1,""Dumbledore's Will"",""Arthur Weasley"",""All together now!"""
191;"Harry Potter and the Deathly Hallows Part 1,""Dumbledore's Will"",""Arthur Weasley"",""One.  Two.  Three!"""
192;"Harry Potter and the Deathly Hallows Part 1,""Dumbledore's Will"",""Ginny Weasley"",""Were you going to tell me?"""
193;"Harry Potter and the Deathly Hallows Part 1,""Dumbledore's Will"",""Harry Potter"",""Yes."""
194;"Harry Potter and the Deathly Hallows Part 1,""Dumbledore's Will"",""Ginny Weasley"",""And Ron and Hermione.  They'll not be going back to Hogwarts either?"""
195;"Harry Potter and the Deathly Hallows Part 1,""Dumbledore's Will"",""Ginny Weasley"",""I see."""
