moviechrono_id;"movie,""chapter"",""character"",""dialog"""
184;"Harry Potter and the Half-Blood Prince,""What Could Be Safer?"",""Harry Potter"",""Look.  His father's a Death Eater. It only makes sense.  Besides, Hermione saw it.  With her own eyes."""
185;"Harry Potter and the Half-Blood Prince,""What Could Be Safer?"",""Hermione Granger"",""I told you.  I don't know what I saw."""
186;"Harry Potter and the Half-Blood Prince,""What Could Be Safer?"",""Harry Potter"",""I need some air."""
187;"Harry Potter and the Half-Blood Prince,""That's For My Father"",""Draco Malfoy"",""What just happened?  Blaise?"""
188;"Harry Potter and the Half-Blood Prince,""That's For My Father"",""Blaise Zabini"",""Don't know."""
189;"Harry Potter and the Half-Blood Prince,""That's For My Father"",""Pansy Parkinson"",""Relax, boys.  The lights went out is all.  Come, Draco.  We'll be at Hogwarts before you know it."""
190;"Harry Potter and the Half-Blood Prince,""That's For My Father"",""Draco Malfoy"",""Hogwarts.  What a pathetic excuse for a school.  I think I'd pitch myself off the Astronomy Tower if I thought I had to continue on for another two years."""
191;"Harry Potter and the Half-Blood Prince,""That's For My Father"",""Pansy Parkinson"",""What's that supposed to mean?"""
192;"Harry Potter and the Half-Blood Prince,""That's For My Father"",""Draco Malfoy"",""Let's just say I don't think you'll be seeing me wasting my time in Charms Class next year."""
193;"Harry Potter and the Half-Blood Prince,""That's For My Father"",""Draco Malfoy"",""Amused, Blaise?  We'll see just who's laughing in the end."""
194;"Harry Potter and the Half-Blood Prince,""That's For My Father"",""Hermione Granger"",""Where's Harry?"""
195;"Harry Potter and the Half-Blood Prince,""That's For My Father"",""Ron Weasley"",""Probably on the platform.  C'mon."""
196;"Harry Potter and the Half-Blood Prince,""That's For My Father"",""Draco Malfoy"",""You two go on.  I want to check something."""
197;"Harry Potter and the Half-Blood Prince,""That's For My Father"",""Draco Malfoy"",""Didn't mummy ever tell you it's bad manners to eavesdrop, Potter? Petrificus Totalus!"""
198;"Harry Potter and the Half-Blood Prince,""That's For My Father"",""Draco Malfoy"",""Oh, right, she was dead before you could wipe the drool off your chin."""
199;"Harry Potter and the Half-Blood Prince,""That's For My Father"",""Draco Malfoy"",""Enjoy the ride back to London."""
200;"Harry Potter and the Half-Blood Prince,""That's For My Father"",""Luna Lovegood"",""Hello, Harry."""
201;"Harry Potter and the Half-Blood Prince,""That's For My Father"",""Harry Potter"",""Luna.  How'd you...?"""
202;"Harry Potter and the Half-Blood Prince,""That's For My Father"",""Luna Lovegood"",""Wrackspurts. Your head's full of them."""
203;"Harry Potter and the Half-Blood Prince,""That's For My Father"",""Harry Potter"",""Sorry I made you miss the carriages, Luna."""
204;"Harry Potter and the Half-Blood Prince,""That's For My Father"",""Luna Lovegood"",""It's alright.  I enjoyed our walk. It was like being with a friend."""
205;"Harry Potter and the Half-Blood Prince,""That's For My Father"",""Harry Potter"",""I am your friend, Luna."""
206;"Harry Potter and the Half-Blood Prince,""That's For My Father"",""Luna Lovegood"",""That's nice."""
207;"Harry Potter and the Half-Blood Prince,""That's For My Father"",""Filius Flitwick"",""About time!  I've been looking all over for you two.  Names."""
208;"Harry Potter and the Half-Blood Prince,""That's For My Father"",""Harry Potter"",""Professor Flitwick, you've known me for five years."""
209;"Harry Potter and the Half-Blood Prince,""That's For My Father"",""Filius Flitwick"",""No exceptions, Potter."""
210;"Harry Potter and the Half-Blood Prince,""That's For My Father"",""Luna Lovegood"",""Who are those people?"""
